orden,zona,titulo_word,link,precio_usd,direccion,atributos,portal
1,CABALLITO,Goyena,https://departamento.mercadolibre.com.ar/MLA-3356355794-departamento-venta-caballito-goyena-piso-260m2-_JM,,Goyena,,ml
2,CABALLITO,"Dúplex 5 amb, 300m², 2 cocheras, balcón terraza",https://departamento.mercadolibre.com.ar/MLA-2345722582-espectacular-5-amb-en-duplex-300m2-2-cocheras-balcon-terraza-super-categoria-_JM,,"Dúplex 5 amb, 300m², 2 cocheras, balcón terraza",,ml
3,CABALLITO,Caballito,https://www.argenprop.com/departamento-en-venta-en-caballito-5-ambientes--19666414,,Caballito,,argenprop
4,CABALLITO,Emilio Mitre 100,https://www.argenprop.com/departamento-en-venta-en-caballito-6-ambientes--14448290,,Emilio Mitre 100,,argenprop
5,CABALLITO,Caballito,https://www.argenprop.com/departamento-en-venta-en-caballito-6-ambientes--10972082,,Caballito,,argenprop
6,CABALLITO,Caballito,https://www.argenprop.com/departamento-en-venta-en-caballito-5-ambientes--19519557,,Caballito,,argenprop
7,CABALLITO,Piso 300m²,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-caballito.-piso-y-1-2.-300-m-sup2--en-zona-44412985.html,,Piso 300m²,,zonaprop
8,CABALLITO,Sofia Building Azcuy,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-5-ambientes-edificio-sofia-building-azcuy-58496119.html,,Sofia Building Azcuy,,zonaprop
9,CABALLITO,Goyena 835 piso 9,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-espectacular-piso-4-amb-con-dependencia-y-2-cocheras-57900496.html,,Goyena 835 piso 9,,zonaprop
10,CABALLITO,Valle 1100,https://departamento.mercadolibre.com.ar/MLA-3153263896-increible-piso-de-categoria-con-dos-cocheras-y-amenities-en-caballito-_JM,,Valle 1100,,ml
11,CABALLITO,Víctor Martínez,https://departamento.mercadolibre.com.ar/MLA-1727935295-venta-de-4-ambientes-en-caballito-_JM,,Víctor Martínez,,ml
12,CABALLITO,Caballito,https://departamento.mercadolibre.com.ar/MLA-3071055960-departamento-en-venta-caballito-4-ambientes-_JM,,Caballito,,ml
13,LAS CAÑITAS,Penthouse 5 amb,https://departamento.mercadolibre.com.ar/MLA-3132596666-penthouse-5-amb-canitas-balcon-terraza-parrilla-cochera-doble-_JM,,Penthouse 5 amb,,ml
